Moments of Inertia Data

Mass  Length  Radius  Moment
-----------------------------
4.54    2.39    0.88    3.03
4.89    2.09    0.91    2.80
5.04    1.85    0.87    2.39
4.83    1.93    1.13    3.04
4.98    2.02    1.05    3.07
4.87    2.12    0.82    2.63
5.00    2.28    0.70    2.78
5.23    1.99    0.94    2.88
6.09    1.63    0.93    2.67
3.90    2.01    1.03    2.36
4.63    2.26    1.04    3.23
5.58    2.09    0.97    3.36
4.58    1.94    1.02    2.63
5.10    1.99    1.06    3.13
5.52    2.19    1.15    4.02
4.97    1.83    1.00    2.64
4.38    1.84    0.93    2.18
5.05    2.02    1.02    3.02
4.55    2.12    0.91    2.65
5.07    2.08    1.15    3.49
6.33    2.08    1.03    3.97
4.46    2.10    0.98    2.72
4.57    2.10    0.88    2.57
4.87    2.20    1.12    3.48
6.38    1.75    1.09    3.54
4.12    2.20    1.05    2.81
5.70    1.75    1.08    3.12
5.23    2.00    1.13    3.40
4.83    1.92    1.09    2.91
5.24    1.91    1.08    3.13
4.06    2.14    0.87    2.32
5.89    1.93    0.98    3.24
4.41    1.91    0.87    2.18
5.49    1.84    1.25    3.70
5.55    1.95    1.00    3.13
5.67    2.18    1.02    3.71
5.55    1.96    1.02    3.22
5.69    2.24    1.05    3.93
5.79    1.96    0.97    3.22
4.90    2.00    0.81    2.44
5.04    2.31    1.00    3.51
5.60    1.90    1.04    3.19
5.40    1.98    0.98    3.05
5.92    1.77    0.87    2.66
4.95    2.05    0.97    2.89
5.82    1.98    0.97    3.26
4.46    2.14    1.07    3.00
4.15    1.95    0.90    2.15
4.80    2.27    0.99    3.23
5.13    1.89    0.93    2.64
4.67    1.83    0.89    2.23
4.71    1.82    1.08    2.69
5.08    1.81    1.15    3.06
4.88    2.02    1.05    2.99
4.80    1.57    1.02    2.24
4.34    1.87    1.14    2.68
5.07    2.17    0.98    3.20
5.62    1.80    1.02    2.97
4.68    2.15    0.94    2.84
4.77    1.91    0.94    2.51
5.42    1.98    1.01    3.14
